user,user_profile,date_review,title,rating,type_visit,num_contributions,review,restaurant,review_cleaned,year,month
Catherine V,592catherinen,2023-04-22,"Tout simplement, exceptionnel!",5.0,couples,4,"Cadre exceptionnel, mets raffinés et délicats, service rapide!
J'ai passé un excellent moment et je reviendrai!",Le Grand Réfectoire,cadre exceptionnel mets raffinés délicats service rapide jai passé excellent moment reviendrai,2023,4
Hanouchka,Hanouchkahnina,2023-04-22,Bel endroit.,3.0,friends,34,"Endroit sobre épuré mais chargé d’histoire. 
Le menu du marché ne contenait que des plats et entrées avec viande! 
Rapport qualité-prix non justifié. Mais bel endroit. ",Le Grand Réfectoire,endroit sobre épuré chargé dhistoire menu marché contenait plat entrées viande rapport qualitéprix non justifié bel endroit,2023,4
coucoupalomas,coucoupalomas,2023-04-21,Déjeuner en famille,4.0,family,46,"Bien cuisiné 
Cadre agréable et parfaitement restauré 
Service adapté et personnel agréable
Rapide et efficace 
À refaire",Le Grand Réfectoire,bien cuisiné cadre agréable parfaitement restauré service adapté personnel agréable rapide efficace refaire,2023,4
catherineS,Icario1954,2023-04-21,Une belle découverte,5.0,none,8,"Lieu qui inspire le calme, voire le recueillement face aux bâtisseurs qui ont construit cet hôtel dieu. Et l'accueil, les plats, le service furent à la hauteur de ce lieu",Le Grand Réfectoire,lieu inspire calme voire recueillement face bâtisseurs construit cet hôtel dieu laccueil plat service hauteur lieu,2023,4
Caroline R,CarolineR954,2023-04-19,Lieu absolument splendide,5.0,friends,2,"Lieu rénové à la perfection. C'est absolument splendide et on y mange très bien. Nous avons mangé le menu du déjeuner, bu une coupe de champagne et un verre de vin très bons, dessert et café pour un total de 50€ par personne. Rien à redire.",Le Grand Réfectoire,lieu rénové perfection cest absolument splendide mange très bien avon mangé menu déjeuner coupe champagne verre vin très bons dessert café total personne rien redire,2023,4
Voyage11216997237,Voyage11216997237,2023-04-16,Dîner d'anniversaire à 2,5.0,couples,1,"Service efficace et parfait, assez rapide. Menu Collection en 5 services à 59 €, excellent  et raffiné, plats originaux grâce au chef inventif !",Le Grand Réfectoire,service efficace parfait assez rapide menu collection service excellent raffiné plat originaux grâce chef inventif,2023,4
blandineberland,blandineberland,2023-04-16,Un tres bon repas dans un cadre magnifique,5.0,none,4,Cadre magnifique et service trés sympathique et efficace . Nous avons passé une tres belle soirée et nous sommes régalés. ,Le Grand Réfectoire,cadre magnifique service trés sympathique efficace avon passé tres belle soirée somme régalés,2023,4
Séverine C,bois2roses,2023-04-15,Une belle découverte,4.0,couples,2,"Une très bonne table et un service de qualité,  je recommande cette adresse sans aucun problème ! 
Cadre chaleureux et accueillant,  sourire et amabilité de l'ensemble de l'équipe.
Assiette gourmande à l'œil et aux papilles.",Le Grand Réfectoire,très bonne table service qualité recommande cette adresse sans aucun problème cadre chaleureux accueillant sourire amabilité lensemble léquipe assiette gourmande lœil papilles,2023,4
Marie D,mariedU3859KQ,2023-04-14,Pas mal ...,3.0,none,3,"Très bel endroit,  service impeccable mais cuisine 
 classique , sans surprise et note un peu élevée ",Le Grand Réfectoire,très bel endroit service impeccable cuisine classique sans surprise note peu élevée,2023,4
Emeline P,209emelinep,2023-04-12,Une petite bulle de tranquilité en plein Lyon,5.0,couples,1,"C'est  l'endroit idéal si l'on veut une coupure avec le tumulte quotidien lyonnais. Une véritable bulle en plein Lyon, le repas fut excellent et les coktails également ! ",Le Grand Réfectoire,cest lendroit idéal lon veut coupure tumulte quotidien lyonnais véritable bulle plein lyon repas excellent coktails également,2023,4
OMDV,B2400HHolivierm,2023-04-12,Un moment bien agréable,5.0,business,2,"Accueil toujours agréable.
Carte aux produits frais et originaux
Un plaisir de venir chez vous et de faire découvrir ce lieu à d'autres",Le Grand Réfectoire,accueil toujours agréable carte produits frais originaux plaisir venir chez faire découvrir lieu dautres,2023,4
Jean-Pierre P,jeanpierrepN4375XW,2023-04-09,Agréable et originale,4.0,couples,19,"Cadre magnifique, repas original et savoureux.
Vins au verre excellents.
Service sympathique mais inexpérimenté. 
Pas trop bruyant, bonne ambiance. ",Le Grand Réfectoire,cadre magnifique repas original savoureux vins verre excellents service sympathique inexpérimenté trop bruyant bonne ambiance,2023,4
Venture63250202992,Venture63250202992,2023-04-09,Resturant sympathique,3.0,couples,1,"Le cadre magnifique, l'accueil chaleureux, la serveuse de notre table  très sympathique, le temps d'attendre pas trop long . Nous avons beaucoup le rapport d'histoire et la gastronomie. Par contre les plats et entrées n'étaient pas de qualité par rapport à ce qu'on attendait de ce lieu . Surtout la terrine du porc et le poisson. Pour le menu veux mieux de mettre un dessert chocolaté pour celles et ceux qui n'aime pas le goût fruité. En tout cas nous avons passé un très beau moment pour notre anniversaire de rencontre. Merci beaucoup. ",Le Grand Réfectoire,cadre magnifique laccueil chaleureux serveuse table très sympathique temp dattendre trop long avon beaucoup rapport dhistoire gastronomie contre plat entrées nétaient qualité rapport quon attendait lieu surtout terrine porc poisson menu veux mieux mettre dessert chocolaté celles ceux naime goût fruité tout avon passé très beau moment anniversaire rencontre merci beaucoup,2023,4
angel2499,angel2499,2023-04-08,Belle expérience,5.0,couples,2,Très belle expérience pour un premier restaurant gastronomique. Plats raffinés et qualitatifs. Personnel très agréable et accueillant.,Le Grand Réfectoire,très belle expérience premier restaurant gastronomique plat raffinés qualitatifs personnel très agréable accueillant,2023,4
Melany L,388melanyl,2023-04-08,Une magnifique soirée,5.0,couples,1,"Un excellent accueil, un personnel très agréable et tout était délicieux.  Nous reviendrons avec grand plaisir. ",Le Grand Réfectoire,excellent accueil personnel très agréable tout délicieux reviendrons grand plaisir,2023,4
