,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
86,Belgarath91,Belgarath91,30 décembre 2017,Diner avec des sushis sans souci,5.0,family,404,"A la recherche d'un restaurant japonais de qualité nous sommes allés chez WASABI suivant les indications de trip advisor. Le décor est chalereux. Le service est souriant et efficace.
Tout est un régal : le cocktail à base d’alcool de prune, la salade au saumon et surtout les plateaux. Le service est judicieusement réparti dans le temps ,ainsi tout le monde mange en même temps. Sushis divins, makis délicieux et que dire des crevettes enbeignet.Un bon choix de sake et en dessert une glace au sésame noir.
Du classique oui mais avec des ingrédients de qualité, du travail soigné et des petits plus, on a vite fait de trouver dans le plaisir total.
Réservation conseillée."
87,Delphine V,delphinev855,24 décembre 2017,Voyage culinaire !!!,5.0,couples,56,"Une agréable surprise et un vrai dépaysement quand on passe les portes du restaurant ! Une cuisine haut de gamme japonaise et un accueil juste parfait avec un serveur qui explique tout ce que l’on a dans son assiette. 
Restaurant un peu coûteux mais la qualité est au rendez-vous !!!"
88,sylvie747869,sylvie747869,30 novembre 2017,une bonne surprise !,4.0,family,53,"nous sommes allés en famille pour feter des anniversaires, et j'avais choisi japonais car mon mari et mon ainé aiment beaucoup. Moi je ne connaissais pas, juste quelques sushis. j'ai été agréablement surprise ! l'accueil est chaleureux, les plats sont bien servis et les produits très frais ! ce ne sont que des menus (pas de plats à la carte) et c'est très bien. bfef, un pur régal !"
89,Gaetan L,BarTOne69,12 novembre 2017,Toujours aussi PARFAIT,5.0,friends,11,"Un grand merci à toute l'équipe du restaurant Wasabi!
L'accueil, le service, les plats, l'attention (...) sont toujours au rendez-vous.
Les mets s'accordent parfaitement avec les sélections de vins, sakés et autres boissons proposées à la carte.
Que dire de la qualité des maki, sushi, sashimi, California rolls... Ne changez rien! C'est fin, raffiné, délicieux... Que du bonheur!
Je vais venir dîner plus souvent au Wasabi c'est certain! Une fois tous les 2 mois ce n'est pas assez au vu de la qualité proposée!"
90,Marc-antoine J,806marcantoinej,7 novembre 2017,Toujours aussi parfait,5.0,family,133,"Un lieu accessible ou l on se sent des l entrée en dehors du temps 
Des plats excellents et frais,
Un service élégant et de bon conseils
Une adresse rare "
91,Franceklima,Franceklima,28 octobre 2017,SPLENDIDE!!!,5.0,family,17,"un grand merci à toute l équipe pour nous avoir fait découvrir une vrai cuisine japonaise !! 
Succulent ! Copieux! Sans faute! Merci
Des explications du chef et de la serveuse !!  
Nous y reviendrons !!!!"
92,MarineCritique,MarineCritique,10 octobre 2017,Moment inoubliable,5.0,couples,25,"Très bonne surprise pour mon anniversaire, personnel très accueillant, la décoration du restaurant est sublime, on se croit ailleurs pendant quelques heures. La nourriture est excellente et raffinée et le repas copieux. Un vrai régal, une douceur, je reviendrai avec grand plaisir !"
93,Alain Éric M,alain_ricp,24 septembre 2017,FRAÎCHEUR JAPONISANTE,5.0,couples,21,"Un restaurant Japonais digne de ce nom avec des mets frais et très bons, du saumon succulent à la glace aux sésames surprenante et divine.
Très bonne ambiance, service un peu long mais salle pleine oblige un samedi soir!
Des prix moyens plus, au menu à 50€, donc pour tous les goûts et les bourses"
94,laurence h,laurenceh23,19 septembre 2017,Enchantement,5.0,none,4,"Cadre simple mais cuisine excellente, avec un service de qualité.
Jamais déçu au wasabi, les meilleurs sushis de lyon!"
95,Ish K,624ishk,16 septembre 2017,Authentique délice du Japon,5.0,couples,330,"Nous avons récidivé dans ce restau qué mon ami et moi adorons par dessus tout! 
Service aux petits oignons, salle superbement bien décorée, qualité et goût des produits! 
C'est un restaurant un peu cher mais vous savez pourquoi vous payez: immersion au Japon le temps d'une soirée accompagné de conseils sur la façon de déguster vos sushis.

Je recommande vivement ce restaurant ! "
96,Christine P,Z6602HVchristinep,9 septembre 2017,Un délicieux Japonais,5.0,family,35,"Quel bonheur d être accueilli avec sourires gentillesse... Zen ... tous les plats sont excellents frais et comme savent le faire les Japonais , les assiettes sont si bien présentées .... et même les desserts sont bons...."
97,Niklaus74,Niklaus74,14 août 2017,Très bon Japonais,5.0,couples,80,"Envie de manger avec mon épouse des sushis elle qui raffole de cela, j'ai effectué ma petite recherche sur tripadvisor et le résultat à été formidable, un peu cher mais excellent.
Je conseille aux amateurs."
98,Bruno V,brunovL2626FA,12 août 2017,Surfait,2.0,couples,139,"Bon rien à dire là dessus, quelques sushis originaux mais sans plus. Par contre le rapport qualité prix est totalement nul. On a pris un menu à 42€ trop classique à mon goût, pour ce prix digne d'un gastronomique on pouvait attendre bien mieux. Les desserts sont dispensables bon mais rien à signaler si ce n'est une chantilly en bombe ! 

PS cerise sur le gâteau une affiche placardée à chaque table indiquant que les protagonistes d'un film ont mangés à cette table précisément !! "
99,Marie M,Z287QYmariem,10 août 2017,Le meilleur japonais que j ai testé,5.0,couples,5,"Je suis allée deux fois dans ce resto. L accueil et le service sont dignes d un gd restaurant. La nourriture est delicieuse. Les prix sont en consequence, c un resto a fr pr une occasion, si vs etes amoureux de la cuisine japonaise!! "
100,dinouseb,dinouseb,8 août 2017,Excellent,5.0,friends,36,"Ne vous arrêtez pas à la façade qui mériterait un bon coup de peinture !
La fraîcheur et la qualité des poissons , la soupe miso , la glace au sésame.... Juste magnifique.

Comptez env 50€ par tête apéro et vin compris {1 bouteille :) .
"
101,Yoan V,yoanv385,26 juillet 2017,Une perle,5.0,couples,19,"Par ou commencer?  Je n'ai pas vraiment l'habitude de sortir du 1er arrondissement pour sortir, manger...     Besoin de changement, d'une nouvelle adresse bien notée.  

Pour commencer la déco est juste super, poétique, pour un diner en amoureux on ne peut pas rêver mieux. Le personnel est sympa et discret.

L'entrée n'est pas exceptionnelle, peu fournie, mais c'est bon.

Pour les plats, un ""maki"" pour madame et un ""ebi"" pour moi.  C'est tres fin, les produits sont tres bons, bien cuisinés, alors en effet c'est cher, mais ça ne me dérange pas de payer plus cher quand on fait une différence gustativement parlant avec d'autre restos avec des pris plus bas.  C'était vraiment bon.

Le plus, le chez qui vient a table pour expliquer quelle pièce manger en premier, avec ou sans sauce, comment les tremper, comment les manger, a quoi sert les différents éléments, très agréablement surpris par cette initiative rarement vu (jamais pour ma part) dans un jap.

Bref, je recommande."
102,69marco69,69marco69,25 juillet 2017,Un festival de saveurs,5.0,couples,212,"Nous avons découvert ce restaurant typique japonais sur recommandation. 
Quelle découverte !
Nous qui sommes des grands amateurs de poisson cru, nous avons découvert ""le must"" lyonnais.
Fraîcheur, saveur, tout y est.
Avec en plus des goûts découverts : anguille, turbo, ...
Plats raffinés, accompagnés d'une belle carte de sakés. 
Certes, le prix est en relation avec la qualité mais absolument à essayer par les adeptes.
"
103,Elo_Gourmande,Elo_Gourmande,23 juillet 2017,Les meilleurs sushis makis sashimis,5.0,none,342,"Sans aucun doute les meilleurs sushis, makis et sashimis de Lyon se trouvent ici au Restaurant Wasabi : produits frais, qualité imparable, mélange de saveurs subtil et une variété de poissons inégalable dans une ambiance japonisante et relaxante... une évasion culinaire et sensorielle pour passer une agréable soirée"
104,Ninn-et-Bart,Ninn-et-Bart,22 juillet 2017,Merveilleux,5.0,couples,45,On est fan de la déco nature et poétique. Les sushis sont délicieux. Le personnel adorable. A chaque fois on y passe un moment magique.
105,Olivier N,OlivierNag,21 juin 2017,Un grand moment !,5.0,none,15,"Repas d'anniversaire en amoureux, sur le conseil d'amis gastronomes. Vraiment délicieux, nourriture d'une très grande qualité, ambiance dépaysante quoiqu'un peu kitsch, mais en tout cas accordée à la personnalité du maître des lieux, une personnalité à part, un artiste. Les sushis spéciaux sont une expérience sublime, mais tout le reste est très bon également. L'accueil est agréable, mais pourrait être un peu plus délicat. Un festin et un très bon moment, quoi qu'il en soit."
106,Pedrolucci,Pedrolucci,17 juin 2017,Deçu,2.0,friends,7,"Nous y sommes allé les yeux fermés compte tunu des commentaires. L'accueil est très bien, le restaurant très jolie ment décoré mais la cuisine n'a rien d'exceptionnelle pour le tarif affiché..."
107,Hyojinchoi,Hyojinchoi,31 mai 2017,Merci Maître Kim - 고맙습니다 !,5.0,couples,20,"Me voilà au Wasabi,

Un retour aux sources, les traditions se perpétuent,... un bout de chez moi pour lutter contre le sushi blues.
Ma fille et moi avons dégusté presque en silence nos menus. Un temps calme pour laisser place aux saveurs subtiles.
Fade ? Pas du tout et c'est l'occasion d'exercer son palais... j'ose la comparaison avec le vin français, j'ai mis du temps à l'apprécier, candide devant les notes, les nuances. C’est le cas ici pour le poisson. On prend en compte le goût, la texture, la coupe, les morceaux choisis. Je réagis en toute bienveillance aux commentaires que je viens de lire, certains cherchant de l'exotisme (ce terme est tellement vaste) et des épices. Il n'y a pas de coriandre ici, ni de cannelle, il s'agit d'autre chose. Oui il y a du wasabi ! Il est fin et ne force pas sur le côté piquant , un juste équilibre.
Tout a un sens ici, l'ordre des poissons, la façon de les apprécier. Et entre chaque bouchée, un peu de daikon ciselé, de gingembre mariné ou de soupe miso qui pour l'histoire est particulière puisque cette dernière ne se consomme pas comme telle ici, mais comme une transition. Il ne faut pas s'attendre à une soupe qui assoiffe et qu'on boit d'un trait, pleine d’exhausteurs de goût la plupart du temps, d’où ce goût trop salé. Le miso est d'une grande qualité, on sent le fumé des bonites séchées. Le riz est parfait. De fait, j'ai été ""cuistot sushi"" dans un autre restaurant à Lyon tenu par des chinois comme souvent. Et oui ça existe plus qu'on peut le croire entre autres tours de passe passe que je n'explique pas ici, ça n'a pas lieu d'être ! Ça pourrait être l’objet d’un billet d’humeur ultérieur !
Je viens ici pour l'authenticité, le savoir-faire et la fraîcheur. Au pays, il faut des années de pratique et beaucoup de connaissances avant d'avoir le droit de servir le moindre client. Pour tant de raisons, je préfère venir au Wasabi plutôt que de les faire avec mes préparations en poudre de perlimpinpin! Paul Bocuse l'a choisi pour enseigner dans son École, ce n'est pas une justification mais une confirmation de son art, de son expression. La transmission s’achève dans l’assiette, aujourd’hui la mienne.
Merci pour le service, de venir à chaque table pour une initiation à l’instant T. Je n’ai jamais choisi les poissons c’est vrai car chaque fois, vous nous offrez les plus frais. Je ne me lasserai pas. J’ai gagné ma journée grâce à vous.
Je n’ai pas mis de photo intentionnellement, pour ne pas tronquer l’imagination ni le désir. Les tables sont toutes neuves, l’ambiance se renouvelle sans changer d’identité. Un petit voyage sous les cerisiers, quelle sérénité.
MERCI à vous et à votre fille, pour votre accueil chaleureux, vos sourires sincères.
Ceci est un message aux lecteurs. Sans vouloir écrire un roman, puisqu’apparemment je suis bien lancé, je ne souhaite que vous tenter.
Alors venez !
Hyo Jin & Lalie"
108,Merwan M,PoM68330,27 mai 2017,Belle découverte japonaise,4.0,friends,41,"Très bon restaurant, nous avons été agréablement surpris par la fraîcheur et la qualité des plats proposés. Les sushis sont vraiment excellent et bien travaillés par le chef, le poisson est goûteux. L'ambiance est très paisible on s'y sent bien, le chef n'hésite pas à venir vous voir à table pour vous donner des conseils et manger comme un vrai japonais! Je tiens à préciser que les plats sont réalisés par de vrais japonais, on sent bien la différence. Je recommande ce restaurant !"
109,Jean Claude D,682jeanclauded,20 mai 2017,Une expérience intéressante,4.0,none,44,"Une première expérience qui vaut de détour.
Il nous tarde d'y retourner tant nous avons aimé.  
 C'est le meilleur restaurant Japonais de Lyon à notre avis."
110,Foucl,Foucl,19 mai 2017,le meilleur japonais,5.0,none,13,"Juste délicieux et très copieux !
La grande gentillesse de l'acceuil et du service est tellement agréable..."
111,Jean-Luc N,jeanlucna,2 mai 2017,beaucoup d'attentes mais au final petite déception,3.0,couples,89,"On m'avait dit si tu aimes les sushis, c'est l'adresse à Lyon où aller... Maitre sushi, et de nombreuses critiques positives. J'y suis donc aller plutôt confiant.
Au final, le service n'était pas correct du tout, le serveur renverse plusieurs fois nos verres pleins d'eau, ne nous servent pas le vin mais ouvrent simplement la bouteille... et que dire de l'attente... près de 45 minutes pour avoir ne serait-ce que les cartes après notre arrivée.
Au final et face à la réputation du lieu, nous optons pour leur menu le + complet appelé Wasabi (à 53 EUR)
Salade avec son tartare de saumon (salade mal lavée avec arrière goût désagréable) mais saumon fantastique accompagnée d'une sauce salade superbe.
Les beignets de crevette, sushis,daurade, turbot, thon, saumon,  sashimi, Maki et la soupe miso étaient très bons également. Le poisson grillé aussi.
Un peu déçu par le dessert glace au sésame noir ou gâteau au thé vert.
Dans l'ensemble, notre repas était correct mais pas forcément fidèle à sa réputation ni au prix. J'ai bien mangé mais je n'ai pas forcément envie de renouveler l'expérience même si j'adore pourtant les sushis."
112,Affef A,affefa,17 avril 2017,Ma meilleure expérience sushis,5.0,couples,7,"Très bons sushis, je recommande vivement. Super service. Le prix est un peu élevé mais la qualité et la quantité des sushis sont au rendez-vous. Les serveurs expliquent en détails comment manger les sushis pour en tirer la meilleure dégustation. Le wasabi est une expérience. Pensez à réserver."
113,nelcya w,nelcyaw,15 avril 2017,Au top,5.0,couples,81,Cadre tres agreable totalement depaysant. Personel tres accueillants et souriants... cuisine vraiment au top avec des produits frais. Le Chef cuisinier est venu en personne nous expliquer comment manger ce qui avait dans l'assiette c'etait tres sympa! Je vous le recomande
114,UxouT,UxouT,15 avril 2017,Joli cadre,5.0,friends,112,"J'ai réservé dans ce restaurant suite aux nombreuses critiques et je dois avouer que c'est un restaurant exceptionnel. J'ai passé un super moment avec une amie. L'ambiance est sublime, le décor travaillé, les gens souriants. Mais surtout, c'est super bon, malgré un prix un peu élevé, les menus sont bien copieux quand même. Bref, je le conseille fortement pour les amateurs de sushis et autres joyeusetés de la cuisine japonaise :)"
115,Mikaël T,pavimami,9 avril 2017,Excellent japonais,4.0,couples,206,"Très bonne ambiance japonisante et relaxante. Tout le monde est souriant. De très bons sushis, beignets, sashimis etc car de très bons poissons label rouge. Et, chose surprenante d'un asiatique, des desserts présents dans les menus et ils sont bons et bien préparés! Le tout un peu cher mais la qualité est là. Les menus Ebi, Sakura et Wasabi sont énormes! "
116,Thomasawyer,Thomasawyer,7 avril 2017,Delicious,5.0,family,318,"Que dire de plus par rapport aux autres commentaires! J'ai opté pour le menu poissons grillés à 18€.C'est très bon et bien dressé. 
C'est cependant légèrement cher mais ca le vaut donc ca passe.
Petite info, la salle n'a jamais été pleine et pourtant au moins un client n'a pu déjeuner, car le restaurant était soit disant complet. Pensez donc à réserver ;)"
117,Bernard.C,Bernard-69890,20 février 2017,Le goût authentique du Japon,4.0,couples,307,"On retient du Japon la finesse, la délicatesse et la subtilité que l'on trouve dans la décoration des boutiques, dans l'assiette des restaurants ou dans l'agencement de leurs jardins.

Le Wasabi en est une illustration tant dans la discrétion et la gentillesse du service que dans les saveurs fines et gourmandes des sushis concoctés avec passion et talent par le chef.

La déco tamisée et chaleureuse de la salle rajoutera une pincée de romantisme à ce moment authentique.

Un bémol tout de même et pas des moindres : Les tarifs des formules sont élevés (de 32 € jusqu'à 53 € ...).
La qualité des produits et les quantités servies peuvent les justifier mais ils seront à coup sûr trop onéreux pour ceux qui sont habitués à d'autres établissements certes moins savoureux mais beaucoup plus économiques.

Le Wasabi, une parenthèse japonaise au cœur de Lyon."
118,Camil75,Camil75,18 février 2017,Très bonne adresse,5.0,couples,36,"Je vais manger au Wasabi depuis longtemps et malgré son succès, la qualité n'a pas baissé. Pour moi, c'est l'une des meilleures adresses de Lyon et c'est toujours un plaisir de faire découvrir ce lieu à des amis.

Plus: La qualité et la fraîcheur des produits, la finesse de la préparation, l'ambiance et le cadre, la gentillesse et la passion du chef. Je ne me lasse pas de la séance de dégustation proposée par le chef!

Le service est un peu lent (mais la cuisine fait vite oublier cette attente). C'est indéniablement cher, mais quand la qualité est là..."
119,Karoline M,karolinem21,10 février 2017,Dépaysant !,5.0,friends,9,"Avis aux amateurs de sushi !
La décoration nous plonge tout de suite dans un univers dépaysant et très relaxant !
Les plats sont excellents ! Les produits utilisés sont frais et de qualité."
120,macerathea,macerathea,10 février 2017,Un anniversaire en or!,5.0,family,2,"Une belle surprise pour mon anniversaire !
Repas traditionnel et délicieux en famille. De quoi se plonger à fond dans la culture japonaise quitte à ce que le chef lui-même vienne expliquer comment manger telle ou telle pièce ! Un régal, je recommande!"
121,La-dupe-69,La-dupe-69,2 février 2017,Réveillon du 31,5.0,couples,16,"À découvrir tout simplement grandiose ! Plongez dans la culture japonaise, avec son chef très typique et sa cuisine gastro !"
122,Gourmetdelyon,Gourmetdelyon,26 janvier 2017,Meilleurs sushi de Lyon !!!,5.0,friends,14,"Aucun égale sur lyon.

Alors oui!!! la déco est dans sont jus, on est pas dans les chaine de sushis avec une atmosphère ultre moderne et sobre. Mais l'important c'est l'assiette !!!

Et alors la, la qualité du poisson est sans pareil et le chef est un véritable passioné.

Il vient meme vous prendre vos baguette quand vous prenez le menu dégustation pour vous dire dans quel ordre dégusté les sushis, la sauce qu'il faut mettre etc.

Vraiment sans pareil sur lyon.

Je recommande pour les fan de sushi de qualité."
123,Hélène O,h_l_neo,19 janvier 2017,Le sushi sublimé !,5.0,friends,16,"Vous allez redécouvrir la gastronomie japonaise en goûtant les préparations de ce Maitre sushi japonais ...
Cadre bucolique, malheureusement mal situé rue d'Anvers ...
Les plats sont fins, frais, savoureux. Vous aurez en plus la possibilité d'un cours de dégustation du sushi par le propriétaire (très instructif)! 
Allez y les yeux fermés."
124,erinadupres,erinadupres,14 janvier 2017,Le sushi gastronomique,4.0,business,11,"Les meilleurs sushis que j'ai pu goûter sur Lyon. Des produits sans comparaison possible avec les géants du poisson cru ou les petits resto de sushis à volonté?

La déco est agréable, le service discret et professionnel, avec en prime des explications pour manger ses sushis. Le poisson est frais et fondant, c'est un régal pour les papilles. Et on vous propose des produits qui changent de l'ordinaire comme un sushi d'anguille grillé.

Attention cependant, la qualité et le plaisir ont un prix chez Wasabi..!"
125,ToutesDesSimone,ToutesDesSimone,14 janvier 2017,Une agréable curiosité japonaise,4.0,friends,20,"L'endroit est atypique, charmant, dépaysant... Les plats sont raffinés et très savoureux et les serveurs sont purement adorables. Une très agréable soirée."
126,THE116,THE116,12 janvier 2017,J'ai saigné du nez comme dans les mangas,5.0,couples,101,"Alors non, je n'ai pas saigné du nez parce que j'ai vu une jolie fille mais parce que mon dîner était excellent. LMAO

Le restaurant ne paie pas de mine vu de l'extérieur mais la déco est très sympa à l'intérieur. Ce n'est pas donné, il faut compter environ 40€ par personne pour un menu, mais c'est le prix à payer pour vivre une expérience culinaire japonaise différente.

Ici on vous explique tout : quel saké choisir, comment manger un sushi, dans quel ordre manger ce que l'on vous sert, à quel moment boire...

Et ça, ça fait la différence, car on redécouvre le restaurant japonais et c'est drôlement cool.

Bien sûr tous les produits sont frais, bien sûr le personnel est souriant et ultra sympathique.

Aucune fausse note, je reviendrai !

Mais juste une question : pourquoi ce nom ? C'est comme si j'ouvrais un restaurant chinois et je l'appelais : Le Nem."
127,Célia,celiafrl,11 janvier 2017,Très bon,4.0,family,41,"Ce restaurant japonais change vraiment des autres. Les produits sont très bons, le poisson est très frais (les brochettes de saumon sont délicieuses). Dessert étonnant qui permet de découvrir de nouvelles saveurs. Seul bémol, les prix sont un peu élevés."
128,Greg Sandrine Z... M,gregsandrinezackm,10 janvier 2017,2 ème fois au wasabi,5.0,couples,2,"Cette fois nous avons pris le menu wasabi à 49 euros c'était délicieux et bien copieux 
Nous nous sommes régaler
Restaurant très propre, accueil chaleureux et sympathique
"
129,LNAnt,LNAnt,8 janvier 2017,Superbe expérience,5.0,couples,11,"Amateurs de sushis, nous avons décidé de tester ce restaurant aux critiques positives.
Très bonne surprise : décoration origininale, salle non bruyante (mais l''heure était tardive). Choix varié de sake. Poisson ultrafondant. Saveurs très intéressantes.
Le fait que le chef se déplace pour expliquer le déroulement du repas et l'art de manger, est certainement un plus!
Nous y reviendrons!"
130,manueh,manueh,1 janvier 2017,Ça change vraiment des restaurants A Sushis,5.0,friends,229,"Je pense à une Chouette qui réchauffe les mains ...

WASABI est donc un restaurant japonais. Situé dans le 7eme arrondissement, la salle de restaurant dispose d'un demi-niveau ce qui donne une impression de volume et d'espace et pas de cantine avec les tables les unes à côté des autres.

On se retrouve très vite dans une ambiance zen (musique de fond douce) et japonaise, le personnel étant assurément issu de ce pays.

Au déjeuner, de nombreuses opportunités se proposent à nous. Les prix ne sont pas les mêmes que dans un restaurant classique mais la qualité justifie ce coût différent. 
Nous avons opté pour le menu appelé SUSHIS (24€) composé de Sushis, Makis et Roll (pas sur du nom). En préambule, une belle salade accompagnée de saumon mariné

En résumé, c'était très bon et fin, préparé à la minute par le chef qui vient vous présenter votre assiette et vous demande de déguster votre 1er Sushi tout en vous expliquant au préalable comment et dans quel ordre procéder.

J'ai beaucoup apprécié les Makis et les Rolls d'une taille imposante. C'était goûteux, fondant.

Voila quelques années que je souhaitais y venir. Voila c'est fait ! J'y retournerai.

"
131,Kasia J,345kasiaw,19 décembre 2016,Perfection absolue!,5.0,couples,921,"On est retournés à Wasabi, après une première expérience très réussie, il y a env. 2 ans. 
Et cette fois, on était encore plus émerveillés par cet endroit absolument parfait. Le décor est très sophistiqué et n'a rien à voir avec le décor dans 99% des restaurants sushis. On peut vraiment se laisser transporter ailleurs... 
Le service est impeccable, rapide et d'une grande gentillesse. 
Et enfin, les sushis, tout simplement divins! Le menu sont composés de plusieurs petits plats, les sushis servis dans un ordre spécial, en fonction de l'intensité de gout. 
C'est un restaurant assez cher, certes, mais ça vaut absolument le coup! Je recommande vivement."
132,DietAddict,DietAddict,18 décembre 2016,La perfection Japonaise,5.0,couples,302,"Meilleur Japonais que j'ai pu tester dans ma vie. 

La fraicheur du poisson et l'art de le cuisiner, le trancher et de l'assortir vous permet de découvrir une authenticité culinaire asiatique juste parfaite.

Les serveurs méritent aussi beaucoup de reconnaissance par leur accueil, leur gentillesse et leurs explications des plats et techniques de les déguster, irréprochables.

Pour finir le repas avec légèreté, je vous conseille vivement la glace au sésame !

Merci pour ce voyage culinaire .."
133,_ppaturel,_ppaturel,8 décembre 2016,Un havre de paix et de sophistication culinaire,5.0,couples,8,"Quand vous pénétrez dans ce restaurant dont la devanture a-priori ne vous attire pas mais vous rappelle qu'il ne faut pas se fier aux apparences, vous entrez immédiatement dans un cocon de sérénité; le cadre est reposant, raffiné et simple à la fois: toute la délicatesse du savoir-faire japonais; l'accueil est agréable, un savoir-être exemplaire; le propriétaire et maître sushi possède à la fois une  discrétion et un charisme appréciables; les menus attirent la curiosité et le menu choisi fait écho à la musique de fond reposante: du piano qui m'évoque le célèbre auteur de la musique du film ""In the mood for Love"" du compositeur Shigeru Umebayashi, un chef d'oeuvre qui sied à merveille en accompagnement de cette cuisine raffinée que l'on va déguster;
le menu choisi composé de sushis,sashimis, thon et saumon crus et autres délicates bouchées est un véritable délice, un chef-d'oeuvre pour le palais;la salade d'entrée au préalable parfaitement dosée et légère à souhait aussi ; la chance est d'avoir le maître qui vient nous expliquer comment déguster ces mets  dans un ordre établi pour savourer au mieux leurs parfums et leur texture;on apprend dans les règles de l'art tout en se délectant de ces exquises bouchées avec la soupe et le thé pour ""se rincer la bouche,"" comme dit le maître, entre chaque douceur; oui c'est le cas: on s'évade au japon et cette expérience nous invite à vouloir en connaître d'avantage et donc à partir un jour là-bas; le repas est plus que copieux , on pourrait en fait manger à deux sur le plateau géant de ces nombreux mets; le maître sushi nous offre même le café et est heureux d'entendre le ""Domo arigato gozaimasu"", réminiscence de termes japonais retenus; c'est un restaurant où la qualité est maître mot;l'hospitalité aussi et la détente de même; à faire en amoureux, entre amis, en famille ou entre midi et deux pour s'aérer du travail , en gourmets passionnés;le décor  de charme tamisé avec petites lumières entrelacées dans des filets, des étoiles, des bambous et autres jolis estampes nous font rêver et offrent une quiétude du début à la fin; Excellent endroit à découvrir ou redécouvrir; on a envie d'y revenir encore et encore; il faut absolument s'y rendre il vaut tous les restaurants chics;et la simplicité rajoute à l'envie de rester; les repas sont des tableaux : beaux et bons, voire excellents;parfait!"
134,Marion B,128marionb,25 novembre 2016,Sushis parfaits !,5.0,family,3,"Deux visites chez Wasabi en 3 ans, c'est définitivement le meilleur restaurant japonais que j'ai pu tester ! On vous apprend à les manger selon un rituel précis, ils ont un gout et une fraicheur inégalés ! On en a pleins les papilles directement !"
135,Didier C,didierc836,23 novembre 2016,S'il n'en fallait qu'un,5.0,friends,33,"Si vous cherchez un Resto rapide et froid pour avaler vite fait quelques sushis ne venez pas là, car ici La deco est chaleureuse et originale, les menus ont une raison d'être et on indique meme dans quel ordre manger. C'est sans doute le meilleur restaurant japonais de Lyon d'ailleurs la communauté asiatique y va régulièrement, signe de plus s'il en fallait un que l'authenticité est là. Seul bémol : il ne faut pas être pressé, mais ce n'est pas grave"
136,Cissou20,Cissou20,19 novembre 2016,A tester absolument !,5.0,family,3,"Nous avons passé un super moment ! La déco est très sympa, chaleureuse.
Nous n'avons rien à redire, le service et l’accueil était top, les serveurs tous très sympa et la cuisine très bonne ! 

Nous recommandons vivement ce restaurant et nous y retournerons !!"
137,AymericM,AymericM,30 octobre 2016,"Authentique, Excellent repas",5.0,business,9,"Repas excellent, qualité supérieure des ingrédients.
Le chef vient à table pour donner quelques conseils.
Décoration typique, atmosphère agréable.
Le tarif est à la hauteur de la prestation"
138,Eric S,ericsW9513RV,23 octobre 2016,Très bonne cuisine japonaise,5.0,family,31,"Je me décide à mettre un avis aprés plusieurs fois dans ce restaurant. Le service est en général bien souriant et professionel. Les menus sont copieux, et préparés avec des produits (poisson) très frais. Le sushi saumon yuzu est exceptionnel.  Si je doit trouver un défaut c'est le prix "
139,Nana.17,Nana_soko,20 octobre 2016,Une bonne expérience mais sans plus,4.0,couples,63,"Nous avons choisi ce restaurant pour feter nos deux ans, et etant des amateurs de sushis-makis nous voulions absolument tester un restaurant gastronomique spécialisé en sushis pour cet evenement. Le cadre est super, la musique douce est discrete et parfaite pour l'ambiance. Attention pensez a reserver 2 j a l'avance ! le temps d'attente est long mais on c'est dit que c'est pour la bonne cause...Pour moi un menu wasabi et pour mon copain un menu maki que l'on c'est partagé pour pouvoir en découvrir toutes les saveurs.Je n'ai jamais gouté une aussi bonne dorade, les sushi son extra mais les makis ne changent pas des autres restaurants. le tartare de saumon est en verité une salade accompagnée de quelques lardons de saumons, le dessert certe original mais pas extra au niveau du gout. en revanche un bon point pour les serveurs qui n'hésitent pas remplir nos verres vides. pour conclure a part pour la dorade je n'ai pas été spécialement conquise."
140,Pierre V,pierrev883,19 octobre 2016,Une merveille,5.0,couples,132,"Le Wasabi est vraiment le restaurant de Lyon où il faut déguster les sushis.
Le cadre est reposant, et les sushis sont une vrai merveille.
Le chef les confectionne et viens vous expliquer comment les manger.
Le personnel est attentionné.
Un must..."
141,Sasha B,sashab812,15 octobre 2016,Un vrai délice !,5.0,family,84,"Un vrai asiatique pour amateur de sushis mais pas que ! Tout est bon dans ce restaurant où nous allons régulièrement 
Un réel plaisir de découverte en plus du cadre magnifique 
Le petit plus, la venue du chef à table qui nous explique comment manger son plat et dans quel ordre car oui il y'a une façon de manger les sushis et un ordre en fonction du poisson 
Vraiment génial je conseille fortement !"
142,Ellimacdee,Ellimacdee,12 octobre 2016,Bon mais tout de même déçue,3.0,couples,22,"On m'avait énormément parlé de ce restaurant, j'adore la cuisine japonaise donc je m'étais fait une vraie joie d'aller manger la bas...
Après un menu à 50 € je dois reconnaitre que je suis déçue. Les beignets de crevettes, les sushis, les sashimis étaient assez banals. Il y a eu quelques pièces un peu meilleures, la soupe miso, la salade au tartare de saumon était bonne. La glace à au sésame noir une délicieuse découverte...mais dans l'ensemble ce n'était pas si différent de notre restaurant de sushi habituel qui est largement moins chère....
Je trouve que le rapport qualité / prix n'est pas celui que j'attendais."
