,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
29,Fabaca,Fabaca3,16 janvier 2020,Délicieux suchis,5.0,friends,7,"Fondue au top, suchis vraiment délicieux, dans un décor pleins de détails. Mon restaurant japonais préféré !"
30,Jajaja003,Jajaja003,11 janvier 2020,Deuxième passage au wasabi,5.0,couples,25,"Deuxième passage au wasabi ! Tout y est toujours parfait : le service, la salle , le repas . Merci encore ! "
31,JM_Bien74,JM_Bien74,4 janvier 2020,Superbe moment !,5.0,friends,68,"Superbe moment !

Loin des sushis « fast food », ce restaurant offre une vrai dégustation de sushis fins et de qualité. 

Tout est fait minute et maison. Les conseils de dégustation viennent avec le service et le cadre est extrêmement reposant. 

Tout pour faire de cette expérience un moment très agréable !

Merci !"
32,Jolecado,Joce_Aldo,10 décembre 2019,Très bon restaurant japonais,4.0,couples,99,"Le cadre est très raffiné avec vue directe sur la cuisine
Le chef est un artiste 
La nourriture est tout simplement excellente 
Le seul petit bémol est le prix 
A tester au min à une fois car le goût du poisson est tout simplement divin "
33,Thomas Kim,beomj_k,25 octobre 2019,Le meilleur restaurant japonais de Lyon,5.0,friends,1,"1. Une déco géniale qui nous emmène loin loin loin, on ne dirait pas qu'on est à Lyon.
2. Le chef aimable qui nous explique l'art de déguster les sushis (l'ordre des poissons, se rincer le palais...)
3. Leur belle collection de saké (le Dassai était fantastique) et le cocktail prune 😍
4. La vision plus que plaisante des plats
5. Les succulents sushis: le poisson est plus que frais, l'assaisonnement du riz excellent, les sushis spéciaux magnifiquement bons. 
6. Le dessert à couper le souffle (surtout la glace au sésame noire)

En somme: allez-y. Ce seront les meilleurs sushis de vos vies.

Le restaurant est un semi-gastro donc c'est un peu cher, mais l'expérience vaut le coup largement. 
"
34,Gilles K,gillesk225,15 octobre 2019,Un délice,5.0,couples,6,"Nous avons suivi les avis trip Advisor pour choisir ce restaurant.
Accueil très courtois avec une décoration très apaisante de ciel étoilé.
Pour la dégustation, le chef nous conseille afin de sublimer notre repas.
Nourriture excellente.
Je recommande sans hésiter."
35,Berrymcgregor,Berrymcgregor,22 septembre 2019,La perfection !,5.0,none,332,"Si vous aimez la vraie cuisine japonaise, vous pouvez venir les yeux fermés. La qualité des poissons est juste incroyable, la présentation des plats est magnifique, tout est raffiné et délicieux.
Ce n'est pas le restaurant le moins cher, c'est vrai, mais c'est juste incomparable avec les chaînes de sushis classiques que l'on trouve ici et qui, pour la plupart, n'ont rien à voir avec la vraie gastronomie japonaise.
Et super service, comme d'habitude."
36,phr0d,rhododendrite,3 septembre 2019,La magie n'opère plus,2.0,none,35,"Chef Kim ne fait plus rêver, pire, il surcuit les poissons. Cette adresses qui fut l'un des sinon le meilleur japonais traditionnel est tombée dans la facilité et ne justifie plus, loin de là les tarifs de ses menus. Les nouvelles formules sont quelconques et surfaites.

Une très grande déception après tant de plaisir. A revoir complètement au niveau produits et prestations du chef. Peut-être est-il trop âgé pour servir autant de tables?"
37,Aurélie G,Aurelie69620,17 août 2019,Au top !,5.0,none,9,"Le restaurant est joliment décoré, les serveuses et le chef sont très agréables, souriants et gentils. La cuisine est raffinée, les poissons d'une très bonne qualité, le saumon fond dans la bouche et la glace au sésame est excellente. Nous nous sommes régalés dans ce restaurant."
38,Emarie71 🏝✈🌵🌻🏖🌞,Emarie71,21 juillet 2019,Succulent,5.0,family,1677,"Premier japonnais pour ma part : superbe découverte 
Serveurs de très bons conseils 
Nourriture d'une finesse exceptionnelle 
Un régal "
39,Gladys Z,616gladysz,26 juin 2019,Bien,3.0,couples,110,"Bel accueil . Gentillesse des serveuses à noter... une belle décoration dans le restaurant.
nous voulions partager un gros menu à 58 euros qui nous a été refusé ... pousse un peu à la consommation. Car le menu était très copieux.. 
Donc nous avons pris deux menus plus petits a 38 euros et 42 euros (salade plat ou Makis, riz, dessert)
La carte n’est composé que de menus donc pas le choix et les Makis et sushis sont très classiques. Dommage pour le manque d’originalité.
Cependant belle qualité des ingrédients tels que les poissons crus. 
Il faut prévoir un certain budget .
Note à 110 euros pour deux menus, 2 boissons et une demi bouteille de rose de Provence. "
40,Olivier M,W9208UAolivierm,19 juin 2019,Exceptionnel,5.0,business,79,On est tous à avoir mangé japonais à la va vite un midi pour 15 euros. On a un repère . On sait bien que ce n’est pas du haut de gamme mais ce n’est pas si mauvais. Et bien avec ce repère allez chez wasabi et vous découvrirez ce que c’est que la finesse de la cuisine japonaise. Les goûts et les saveurs sont juste incroyables. Certes le prix est là plus du double de 15 euros mais à la première bouchée c’est justifié.
41,KAB,kim-arth,31 mai 2019,Tout simplement parfait,5.0,couples,11,"Sushis maîtrisés de bout en bout, un voyage au japon le temps d'un repas, Wasabi est certainement l'une, si ce n'est LA meilleure adresse de sushi de Lyon !"
42,YVES F,yvesf414,28 avril 2019,Excellent,5.0,friends,12,De vrais sushis préparés devant vos yeux dans une ambiance qui s'accorde parfaitement avec les plats
43,John,johnsmith000000,14 avril 2019,Un régal,5.0,none,7,"Certainement les meilleurs sushis de Lyon.
Ça n’a rien à voir avec toutes ces chaînes qui travaillent du poisson congelé, la on a du poisson frais et de qualité et en plus on est servi par le chef en personne 😍"
44,Nicolivia,Nicolivia,7 avril 2019,Enfin un vrai restaurant japonais à Lyon,5.0,couples,13,"Ravi .... ravi de trouver un restaurant qui propose de manger comme dans les VRAIS restaurants japonais, avec les coutumes qui vont avec ... frais frais et goûtu je dis juste bravo
Merci"
45,Baptiste G,880baptisteg,7 avril 2019,Excellents sushis,4.0,friends,71,"À tester !! Tout est très bon de l'entrée au dessert (nous avons pris le plus gros menu à 58€ le soir). Les poissons sont frais, le riz délicieux, le service est très pro avec des explications sur les différents sushis. A faire au moins une fois car l'addition est tout de même élevée ! "
46,Leya67,Leya67,7 avril 2019,Excellent,5.0,family,44,"Découverte cette semaine suite aux excellents avis... pas déçue!! une excellente soirée avec un service charmant et un défilé de saveurs. Les sushis sont vraiment un délice, une vraie expérience pour moi qui ai l'habitude de sushis de ""chaines"", bons mais sans plus. (les makis cependant ne sont pas très différents d'ailleurs, mieux vaut prendre les sushis ou même les california rolls). C'est plus cher bien sûr, mais la qualité le vaut largement! Nous reviendrons!"
47,ascel69,ascel69,31 mars 2019,L'excellence même des spécialités japonaise,5.0,couples,1,"Un maître dans l'art de la gastronomie japonaise. Nous poussons la porte de ce petit restaurant cosi où l'instant d'un repas, le temps s'arrête. Nos papilles sont bousculées dans un mélange de saveurs incroyables. A chaque fois, nous revenons inlassables."
48,Marion L,marionlL3100PR,23 février 2019,Excellentissisme,5.0,couples,1,Le meilleur japonais personnellement ! Les sushi spéciaux sont une tuerie ! Et en plus il y a les conseils du chef !! Très bon a refaire
