name,url,id_restaurant
L'Acteur,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1332430-Reviews-L_Acteur-Lyon_Rhone_Auvergne_Rhone_Alpes.html,36
La Gache,https://www.tripadvisor.fr/Restaurant_Review-g187265-d21221126-Reviews-La_Gache-Lyon_Rhone_Auvergne_Rhone_Alpes.html,37
Trattino,https://www.tripadvisor.fr/Restaurant_Review-g187265-d15670272-Reviews-Trattino-Lyon_Rhone_Auvergne_Rhone_Alpes.html,38
Sabai Sabai,https://www.tripadvisor.fr/Restaurant_Review-g187265-d14001472-Reviews-Sabai_Sabai-Lyon_Rhone_Auvergne_Rhone_Alpes.html,39
Bouchon Tupin,https://www.tripadvisor.fr/Restaurant_Review-g187265-d15222656-Reviews-Bouchon_Tupin-Lyon_Rhone_Auvergne_Rhone_Alpes.html,40
Zappo,https://www.tripadvisor.fr/Restaurant_Review-g187265-d12330374-Reviews-Zappo-Lyon_Rhone_Auvergne_Rhone_Alpes.html,41
La Bouteillerie,https://www.tripadvisor.fr/Restaurant_Review-g187265-d2027277-Reviews-La_Bouteillerie-Lyon_Rhone_Auvergne_Rhone_Alpes.html,42
Court Bouillon,https://www.tripadvisor.fr/Restaurant_Review-g187265-d17816279-Reviews-Court_Bouillon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,43
Fiston - Bouchon Lyonnais,https://www.tripadvisor.fr/Restaurant_Review-g187265-d15130370-Reviews-Fiston_Bouchon_Lyonnais-Lyon_Rhone_Auvergne_Rhone_Alpes.html,44
La Mere Brazier,https://www.tripadvisor.fr/Restaurant_Review-g187265-d718686-Reviews-La_Mere_Brazier-Lyon_Rhone_Auvergne_Rhone_Alpes.html,45
Ti amo Maria,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3184505-Reviews-Ti_amo_Maria-Lyon_Rhone_Auvergne_Rhone_Alpes.html,46
Celest Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187265-d10720590-Reviews-Celest_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,47
Petit Ogre,https://www.tripadvisor.fr/Restaurant_Review-g187265-d4686506-Reviews-Petit_Ogre-Lyon_Rhone_Auvergne_Rhone_Alpes.html,48
Les Fines Gueules,https://www.tripadvisor.fr/Restaurant_Review-g187265-d2065540-Reviews-Les_Fines_Gueules-Lyon_Rhone_Auvergne_Rhone_Alpes.html,49
Chez Paul,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1867024-Reviews-Chez_Paul-Lyon_Rhone_Auvergne_Rhone_Alpes.html,50
Le Bouchon des Filles,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1643202-Reviews-Le_Bouchon_Des_Filles-Lyon_Rhone_Auvergne_Rhone_Alpes.html,51
La Scala Siciliana,https://www.tripadvisor.fr/Restaurant_Review-g187265-d2545076-Reviews-La_Scala_Siciliana-Lyon_Rhone_Auvergne_Rhone_Alpes.html,52
Rose de Damas,https://www.tripadvisor.fr/Restaurant_Review-g187265-d14895883-Reviews-Rose_de_Damas-Lyon_Rhone_Auvergne_Rhone_Alpes.html,53
La Mère Cottivet,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1147134-Reviews-La_Mere_Cottivet-Lyon_Rhone_Auvergne_Rhone_Alpes.html,54
La Voie Himalaya,https://www.tripadvisor.fr/Restaurant_Review-g187265-d8789737-Reviews-La_Voie_Himalaya-Lyon_Rhone_Auvergne_Rhone_Alpes.html,55
Fiston - Restaurants,https://www.tripadvisor.fr/Restaurant_Review-g187265-d8745622-Reviews-Fiston_Restaurants-Lyon_Rhone_Auvergne_Rhone_Alpes.html,56
Cercle Rouge,https://www.tripadvisor.fr/Restaurant_Review-g187265-d11904366-Reviews-Cercle_Rouge-Lyon_Rhone_Auvergne_Rhone_Alpes.html,57
Les Infidèles,https://www.tripadvisor.fr/Restaurant_Review-g187265-d21254633-Reviews-Les_Infideles-Lyon_Rhone_Auvergne_Rhone_Alpes.html,58
Restaurant Rustique,https://www.tripadvisor.fr/Restaurant_Review-g187265-d19384388-Reviews-Restaurant_Rustique-Lyon_Rhone_Auvergne_Rhone_Alpes.html,59
Antolio,https://www.tripadvisor.fr/Restaurant_Review-g187265-d19402701-Reviews-Antolio-Lyon_Rhone_Auvergne_Rhone_Alpes.html,60
Bouchon Palais Grillet,https://www.tripadvisor.fr/Restaurant_Review-g187265-d17378051-Reviews-Bouchon_Palais_Grillet-Lyon_Rhone_Auvergne_Rhone_Alpes.html,61
Bikube Lyon - Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187265-d28100759-Reviews-Bikube_Lyon_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,62
Le Pique Assiette,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3250336-Reviews-Le_Pique_Assiette-Lyon_Rhone_Auvergne_Rhone_Alpes.html,63
Delicatessen,https://www.tripadvisor.fr/Restaurant_Review-g187265-d12663220-Reviews-Delicatessen-Lyon_Rhone_Auvergne_Rhone_Alpes.html,64
Les Encavés,https://www.tripadvisor.fr/Restaurant_Review-g187265-d24048789-Reviews-Les_Encaves-Lyon_Rhone_Auvergne_Rhone_Alpes.html,65
Bulle Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187265-d24034671-Reviews-Bulle_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,66
Aromatic Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187265-d12337867-Reviews-Aromatic_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,67
La Gargotte,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1331945-Reviews-La_Gargotte-Lyon_Rhone_Auvergne_Rhone_Alpes.html,68
Le Coquemar,https://www.tripadvisor.fr/Restaurant_Review-g187265-d794161-Reviews-Le_Coquemar-Lyon_Rhone_Auvergne_Rhone_Alpes.html,69
Les Vieux Garçons,https://www.tripadvisor.fr/Restaurant_Review-g187265-d11824522-Reviews-Les_Vieux_Garcons-Lyon_Rhone_Auvergne_Rhone_Alpes.html,70
Notre Maison,https://www.tripadvisor.fr/Restaurant_Review-g187265-d800321-Reviews-Notre_Maison-Lyon_Rhone_Auvergne_Rhone_Alpes.html,71
Kenbo,https://www.tripadvisor.fr/Restaurant_Review-g187265-d9597301-Reviews-Kenbo-Lyon_Rhone_Auvergne_Rhone_Alpes.html,72
L'Étage,https://www.tripadvisor.fr/Restaurant_Review-g187265-d2284897-Reviews-L_Etage-Lyon_Rhone_Auvergne_Rhone_Alpes.html,73
Le Crayon,https://www.tripadvisor.fr/Restaurant_Review-g187265-d5798545-Reviews-Le_Crayon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,74
L'arquebuse,https://www.tripadvisor.fr/Restaurant_Review-g187265-d23920215-Reviews-L_arquebuse-Lyon_Rhone_Auvergne_Rhone_Alpes.html,75
KUMA cantine,https://www.tripadvisor.fr/Restaurant_Review-g187265-d7171160-Reviews-KUMA_cantine-Lyon_Rhone_Auvergne_Rhone_Alpes.html,76
Crêperie La Marie Morgane,https://www.tripadvisor.fr/Restaurant_Review-g187265-d4338972-Reviews-Creperie_La_Marie_Morgane-Lyon_Rhone_Auvergne_Rhone_Alpes.html,77
Two Amigos Ampere,https://www.tripadvisor.fr/Restaurant_Review-g187265-d8733117-Reviews-Two_Amigos_Ampere-Lyon_Rhone_Auvergne_Rhone_Alpes.html,78
Au Petit Bouchon Chez Georges,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1326311-Reviews-Au_Petit_Bouchon_Chez_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html,79
Le Merciere,https://www.tripadvisor.fr/Restaurant_Review-g187265-d907784-Reviews-Le_Merciere-Lyon_Rhone_Auvergne_Rhone_Alpes.html,80
